date,item,quantity,unit_cost
2026-04-13,12oz Cups,4000.0,0.1076
2026-04-13,16oz Cups,3000.0,0.1252
2026-04-13,Caramel Syrup,24.0,6.987
2026-04-13,Croissants,72.0,1.358
2026-04-13,Cup Lids,7000.0,0.0391
2026-04-13,Drip Coffee Beans,25.0,7.2143
2026-04-13,Espresso Beans,35.0,9.8343
2026-04-13,Matcha Powder,20.0,25.9879
2026-04-13,Oat Milk,48.0,3.1212
2026-04-13,Vanilla Syrup,72.0,6.8532
2026-04-13,Whole Milk,52.0,4.3883
2026-04-15,Croissants,72.0,1.3887
2026-04-16,Whole Milk,56.0,4.1065
2026-04-17,Croissants,72.0,1.3852
2026-04-19,Croissants,144.0,1.3633
2026-04-19,Whole Milk,60.0,4.1344
2026-04-20,Drip Coffee Beans,30.0,7.3686
2026-04-20,Espresso Beans,35.0,9.7692
2026-04-20,Oat Milk,48.0,3.0708
2026-04-21,Croissants,72.0,1.3252
2026-04-22,Whole Milk,48.0,4.3657
2026-04-23,Croissants,72.0,1.3776
2026-04-25,Croissants,72.0,1.382
2026-04-25,Whole Milk,56.0,4.2985
2026-04-27,Caramel Syrup,24.0,6.9164
2026-04-27,Croissants,108.0,1.3209
2026-04-27,Drip Coffee Beans,35.0,7.2056
2026-04-27,Espresso Beans,35.0,9.6453
2026-04-27,Oat Milk,36.0,3.0323
2026-04-27,Vanilla Syrup,66.0,6.9437
2026-04-28,Whole Milk,60.0,4.1893
2026-04-29,Croissants,72.0,1.3631
2026-05-01,Croissants,72.0,1.3403
2026-05-01,Whole Milk,52.0,4.1761
2026-05-03,Croissants,108.0,1.311
2026-05-04,12oz Cups,3000.0,0.1083
2026-05-04,16oz Cups,3000.0,0.1285
2026-05-04,Cup Lids,7000.0,0.0407
2026-05-04,Drip Coffee Beans,25.0,7.1598
2026-05-04,Espresso Beans,40.0,9.3837
2026-05-04,Matcha Powder,18.0,26.9608
2026-05-04,Oat Milk,48.0,3.1719
2026-05-04,Whole Milk,64.0,4.1939
2026-05-05,Croissants,72.0,1.3509
2026-05-07,Croissants,72.0,1.3829
2026-05-07,Whole Milk,40.0,4.3603
2026-05-09,Croissants,72.0,1.331
2026-05-10,Whole Milk,68.0,4.1339
2026-05-11,Caramel Syrup,30.0,6.822
2026-05-11,Croissants,108.0,1.3116
2026-05-11,Drip Coffee Beans,30.0,7.262
2026-05-11,Espresso Beans,40.0,9.4963
2026-05-11,Oat Milk,36.0,3.03
2026-05-11,Vanilla Syrup,60.0,6.9411
2026-05-13,Croissants,72.0,1.378
2026-05-13,Whole Milk,44.0,4.2543
2026-05-15,Croissants,72.0,1.3542
2026-05-16,Whole Milk,48.0,4.0958
2026-05-17,Croissants,108.0,1.3746
2026-05-18,Drip Coffee Beans,30.0,7.2543
2026-05-18,Espresso Beans,35.0,9.1924
2026-05-18,Oat Milk,36.0,3.0968
2026-05-19,Croissants,72.0,1.3384
2026-05-19,Whole Milk,60.0,4.1767
2026-05-21,Croissants,72.0,1.3366
2026-05-22,Whole Milk,44.0,4.321
2026-05-23,Croissants,108.0,1.3581
2026-05-25,12oz Cups,4000.0,0.1114
2026-05-25,16oz Cups,3000.0,0.1327
2026-05-25,Caramel Syrup,36.0,7.0629
2026-05-25,Croissants,144.0,1.381
2026-05-25,Cup Lids,6000.0,0.0403
2026-05-25,Drip Coffee Beans,30.0,7.2715
2026-05-25,Espresso Beans,40.0,9.2845
2026-05-25,Matcha Powder,18.0,26.8661
2026-05-25,Oat Milk,48.0,3.0995
2026-05-25,Vanilla Syrup,66.0,6.9391
2026-05-25,Whole Milk,72.0,4.1932
2026-05-27,Croissants,72.0,1.3377
2026-05-28,Whole Milk,60.0,4.2814
2026-05-29,Croissants,108.0,1.3628
2026-05-31,Croissants,108.0,1.3602
2026-05-31,Whole Milk,68.0,4.2724
2026-06-01,Drip Coffee Beans,25.0,7.1323
2026-06-01,Espresso Beans,40.0,9.6439
2026-06-01,Oat Milk,48.0,3.1839
2026-06-02,Croissants,108.0,1.3469
2026-06-03,Whole Milk,60.0,4.1874
2026-06-04,Croissants,72.0,1.3053
2026-06-06,Croissants,72.0,1.3474
2026-06-06,Whole Milk,48.0,4.1396
2026-06-08,Caramel Syrup,30.0,6.7895
2026-06-08,Croissants,144.0,1.3558
2026-06-08,Drip Coffee Beans,30.0,7.3506
2026-06-08,Espresso Beans,45.0,9.3178
2026-06-08,Oat Milk,48.0,3.0223
2026-06-08,Vanilla Syrup,66.0,6.6544
2026-06-09,Whole Milk,68.0,4.2853
2026-06-10,Croissants,72.0,1.3788
2026-06-12,Croissants,108.0,1.3564
2026-06-12,Whole Milk,56.0,4.1637
2026-06-14,Croissants,108.0,1.3836
2026-06-15,12oz Cups,4000.0,0.1104
2026-06-15,16oz Cups,3000.0,0.1292
2026-06-15,Cup Lids,6000.0,0.0408
2026-06-15,Drip Coffee Beans,25.0,7.0079
2026-06-15,Espresso Beans,40.0,9.6231
2026-06-15,Matcha Powder,20.0,25.8677
2026-06-15,Oat Milk,36.0,3.0803
2026-06-15,Whole Milk,64.0,4.1779
2026-06-16,Croissants,108.0,1.3714
2026-06-18,Croissants,72.0,1.3258
2026-06-18,Whole Milk,52.0,4.3434
2026-06-20,Croissants,108.0,1.3519
2026-06-21,Whole Milk,64.0,4.2629
2026-06-22,Caramel Syrup,30.0,6.7283
2026-06-22,Croissants,108.0,1.3317
2026-06-22,Drip Coffee Beans,30.0,7.36
2026-06-22,Espresso Beans,35.0,9.4878
2026-06-22,Oat Milk,36.0,3.1622
2026-06-22,Vanilla Syrup,78.0,6.8068
2026-06-24,Croissants,72.0,1.3242
2026-06-24,Whole Milk,52.0,4.2765
2026-06-26,Croissants,108.0,1.3527
2026-06-27,Whole Milk,48.0,4.2351
2026-06-28,Croissants,108.0,1.3438
2026-06-29,Drip Coffee Beans,30.0,7.7075
2026-06-29,Espresso Beans,45.0,9.6646
2026-06-29,Oat Milk,48.0,3.0383
2026-06-30,Croissants,72.0,1.3562
2026-06-30,Whole Milk,68.0,4.3222
2026-07-02,Croissants,72.0,1.3488
2026-07-03,Whole Milk,44.0,4.3216
2026-07-04,Croissants,72.0,1.3381
2026-07-06,12oz Cups,4000.0,0.1136
2026-07-06,16oz Cups,3000.0,0.1313
2026-07-06,Caramel Syrup,30.0,6.9679
2026-07-06,Croissants,36.0,1.3037
2026-07-06,Cup Lids,5000.0,0.0405
2026-07-06,Drip Coffee Beans,20.0,7.0603
2026-07-06,Espresso Beans,30.0,9.5766
2026-07-06,Matcha Powder,18.0,26.4152
2026-07-06,Oat Milk,36.0,3.1372
2026-07-06,Vanilla Syrup,60.0,6.7398
2026-07-06,Whole Milk,28.0,4.3992
2026-07-08,Croissants,72.0,1.358
2026-07-09,Whole Milk,56.0,4.1586
2026-07-10,Croissants,108.0,1.3359
2026-07-12,Croissants,144.0,1.327
2026-07-12,Whole Milk,60.0,4.1189
2026-07-13,Drip Coffee Beans,25.0,6.984
2026-07-13,Espresso Beans,45.0,9.2939
2026-07-13,Oat Milk,48.0,3.0264
2026-07-14,Croissants,72.0,1.393
2026-07-15,Whole Milk,64.0,4.3477
2026-07-16,Croissants,108.0,1.4022
2026-07-18,Croissants,108.0,1.3476
2026-07-18,Whole Milk,68.0,4.4072
2026-07-20,Caramel Syrup,30.0,6.6662
