date,item,quantity
2026-04-13,Whole Milk,16.1
2026-04-14,Whole Milk,15.8
2026-04-15,Whole Milk,16.8
2026-04-16,Whole Milk,15.62
2026-04-17,Whole Milk,19.85
2026-04-18,Whole Milk,28.37
2026-04-19,Whole Milk,21.03
2026-04-20,Whole Milk,16.59
2026-04-21,Whole Milk,14.14
2026-04-22,Whole Milk,19.3
2026-04-23,Whole Milk,15.49
2026-04-24,Whole Milk,24.29
2026-04-25,Whole Milk,22.02
2026-04-26,Whole Milk,21.37
2026-04-27,Whole Milk,17.19
2026-04-28,Whole Milk,15.53
2026-04-29,Whole Milk,18.91
2026-04-30,Whole Milk,20.08
2026-05-01,Whole Milk,21.89
2026-05-02,Whole Milk,22.58
2026-05-03,Whole Milk,19.0
2026-05-04,Whole Milk,12.15
2026-05-05,Whole Milk,15.45
2026-05-06,Whole Milk,12.18
2026-05-07,Whole Milk,18.81
2026-05-08,Whole Milk,19.41
2026-05-09,Whole Milk,24.5
2026-05-10,Whole Milk,19.99
2026-05-11,Whole Milk,16.42
2026-05-12,Whole Milk,12.13
2026-05-13,Whole Milk,16.38
2026-05-14,Whole Milk,16.64
2026-05-15,Whole Milk,18.04
2026-05-16,Whole Milk,25.57
2026-05-17,Whole Milk,18.79
2026-05-18,Whole Milk,15.74
2026-05-19,Whole Milk,14.44
2026-05-20,Whole Milk,16.35
2026-05-21,Whole Milk,16.59
2026-05-22,Whole Milk,21.6
2026-05-23,Whole Milk,24.96
2026-05-24,Whole Milk,23.04
2026-05-25,Whole Milk,14.8
2026-05-26,Whole Milk,18.93
2026-05-27,Whole Milk,18.41
2026-05-28,Whole Milk,19.27
2026-05-29,Whole Milk,20.85
2026-05-30,Whole Milk,26.48
2026-05-31,Whole Milk,23.89
2026-06-01,Whole Milk,13.38
2026-06-02,Whole Milk,18.37
2026-06-03,Whole Milk,17.55
2026-06-04,Whole Milk,17.21
2026-06-05,Whole Milk,19.83
2026-06-06,Whole Milk,26.52
2026-06-07,Whole Milk,25.56
2026-06-08,Whole Milk,17.96
2026-06-09,Whole Milk,18.01
2026-06-10,Whole Milk,16.58
2026-06-11,Whole Milk,21.79
2026-06-12,Whole Milk,15.49
2026-06-13,Whole Milk,23.83
2026-06-14,Whole Milk,24.9
2026-06-15,Whole Milk,12.64
2026-06-16,Whole Milk,19.08
2026-06-17,Whole Milk,19.57
2026-06-18,Whole Milk,19.31
2026-06-19,Whole Milk,18.45
2026-06-20,Whole Milk,19.58
2026-06-21,Whole Milk,21.19
2026-06-22,Whole Milk,14.62
2026-06-23,Whole Milk,15.99
2026-06-24,Whole Milk,16.19
2026-06-25,Whole Milk,21.41
2026-06-26,Whole Milk,20.49
2026-06-27,Whole Milk,26.03
2026-06-28,Whole Milk,23.81
2026-06-29,Whole Milk,17.37
2026-06-30,Whole Milk,20.38
2026-07-01,Whole Milk,12.93
2026-07-02,Whole Milk,12.69
2026-07-03,Whole Milk,15.1
2026-07-05,Whole Milk,15.35
2026-07-06,Whole Milk,12.44
2026-07-07,Whole Milk,20.4
2026-07-08,Whole Milk,20.48
2026-07-09,Whole Milk,17.82
2026-07-10,Whole Milk,20.93
2026-07-11,Whole Milk,25.26
2026-07-12,Whole Milk,21.81
2026-07-13,Whole Milk,17.76
2026-07-14,Whole Milk,17.95
2026-07-15,Whole Milk,21.11
2026-07-16,Whole Milk,20.0
2026-07-17,Whole Milk,21.31
2026-07-18,Whole Milk,27.82
2026-07-19,Whole Milk,19.79
2026-07-20,Whole Milk,16.62
2026-07-21,Whole Milk,17.98
2026-07-22,Whole Milk,17.33
2026-07-23,Whole Milk,18.15
2026-07-24,Whole Milk,22.51
2026-07-25,Whole Milk,24.37
2026-07-26,Whole Milk,16.37
2026-07-27,Whole Milk,17.61
2026-07-28,Whole Milk,17.19
2026-07-29,Whole Milk,17.72
2026-07-30,Whole Milk,17.63
2026-07-31,Whole Milk,20.68
2026-08-01,Whole Milk,25.15
2026-08-02,Whole Milk,25.08
2026-08-03,Whole Milk,17.66
2026-08-04,Whole Milk,16.36
2026-08-05,Whole Milk,20.35
2026-08-06,Whole Milk,17.29
2026-08-07,Whole Milk,24.2
2026-08-08,Whole Milk,24.68
2026-08-09,Whole Milk,21.29
2026-08-10,Whole Milk,16.11
2026-04-13,Oat Milk,5.97
2026-04-14,Oat Milk,7.08
2026-04-15,Oat Milk,6.76
2026-04-16,Oat Milk,6.69
2026-04-17,Oat Milk,8.64
2026-04-18,Oat Milk,11.71
2026-04-19,Oat Milk,9.64
2026-04-20,Oat Milk,6.54
2026-04-21,Oat Milk,5.96
2026-04-22,Oat Milk,8.65
2026-04-23,Oat Milk,6.97
2026-04-24,Oat Milk,11.35
2026-04-25,Oat Milk,10.47
2026-04-26,Oat Milk,9.11
2026-04-27,Oat Milk,7.2
2026-04-28,Oat Milk,6.88
2026-04-29,Oat Milk,7.78
2026-04-30,Oat Milk,7.32
2026-05-01,Oat Milk,8.72
2026-05-02,Oat Milk,10.55
2026-05-03,Oat Milk,9.67
2026-05-04,Oat Milk,5.78
2026-05-05,Oat Milk,7.01
2026-05-06,Oat Milk,4.66
2026-05-07,Oat Milk,8.74
